Date,Value,Anomaly
199006,70.21,1.74
199106,69.04,0.57
199206,67.41,-1.06
199306,67.19,-1.28
199406,70.93,2.46
199506,67.53,-0.94
199606,69.84,1.37
199706,68.29,-0.18
199806,68.11,-0.36
199906,68.29,-0.18
200006,69.01,0.54
200106,69.21,0.74
200206,70.84,2.37
200306,68.02,-0.45
200406,68.05,-0.42
200506,69.19,0.72
200606,70.74,2.27
200706,69.85,1.38
200806,69.58,1.11
200906,68.5,0.03
201006,70.47,2
201106,69.8,1.33
201206,70.52,2.05
201306,70.38,1.91
201406,69.57,1.1
201506,71.33,2.86
201606,71.74,3.27
201706,70.32,1.85
201806,71.53,3.06
201906,68.7,0.23
202006,70.27,1.8
202106,72.57,4.1
202206,70.79,2.32