#  Eastern NWS Region June Average Temperature,,
# Units: Degrees Fahrenheit,,
# Base Period: 2002-2022,,
# Missing: -99,,
Date,Value,Anomaly
200206,69.2,0
200306,66.8,-2.4
200406,67.5,-1.7
200506,70.7,1.5
200606,68.3,-0.9
200706,69.3,0.1
200806,70.8,1.6
200906,68,-1.2
201006,71.5,2.3
201106,70.1,0.9
201206,68.1,-1.1
201306,69,-0.2
201406,69.6,0.4
201506,69.3,0.1
201606,69.5,0.3
201706,68.6,-0.6
201806,69.5,0.3
201906,68.1,-1.1
202006,69.1,-0.1
202106,70.3,1.1
202206,69.1,-0.1