#  Southern NWS Region June Average Temperature,,
# Units: Degrees Fahrenheit,,
# Base Period: 2002-2022,,
# Missing: -99,,
Date,Value,Anomaly
200206,78,-0.4
200306,75.6,-2.8
200406,76.6,-1.8
200506,77.4,-1
200606,78.1,-0.3
200706,76.6,-1.8
200806,79.2,0.8
200906,78.7,0.3
201006,80.6,2.2
201106,81.5,3.1
201206,78.7,0.3
201306,78.9,0.5
201406,78,-0.4
201506,78,-0.4
201606,78.8,0.4
201706,77.5,-0.9
201806,80.5,2.1
201906,76.9,-1.5
202006,78,-0.4
202106,77.9,-0.5
202206,80.1,1.7