state,species_richness,state_park_land_coverage,state_park_rank
Alabama,10,0.23%,46
Alaska,,9.10%,2
Arizona,5,2.60%,12
Arkansas,8,0.18%,44
California,10,7.49%,3
Colorado,2,1.02%,25
Connecticut,5,7.41%,4
Delaware,5,1.69%,16
Florida,9,6.63%,6
Georgia,4,0.23%,40
Hawaii,,9.41%,1
Idaho,1,0.16%,45
Illinois,6,1.39%,19
Indiana,8,0.81%,32
Iowa,5,0.21%,42
Kansas,1,0.06%,44
Kentucky,9,1.72%,15
Louisiana,10,0.10%,48
Maine,2,3.58%,10
Maryland,6,1.28%,21
Massachusetts,4,4.23%,7
Michigan,3,2.23%,11
Minnesota,3,0.90%,29
Mississippi,8,0.07%,49
Missouri,7,0.34%,37
Montana,0,1.20%,22
Nebraska,1,0.31%,38
Nevada,2,0.30%,39
New Hampshire,4,1.35%,20
New Jersey,6,7.28%,5
New Mexico,1,0.18%,43
New York,9,1.09%,23
North Carolina,5,1.45%,18
North Dakota,1,0.21%,41
Ohio,4,0.77%,34
Oklahoma,2,0.13%,47
Oregon,2,0.46%,36
Pennsylvania,6,1.02%,24
Rhode Island,4,0.84%,31
South Carolina,7,0.53%,35
South Dakota,0,0.77%,33
Tennessee,11,1.68%,17
Texas,3,0.95%,28
Utah,3,1.80%,14
Washington,2,3.93%,9
Wyoming,0,4.09%,8
Wisconsin,6,1.95%,13
Vermont,4,0.84%,30
Virginia,10,0.98%,26
West Virginia,10,0.95%,27